,train_prefix,mean_response_length_train_prefix_base,eval_prefix,mean_response_length_eval_prefix_base,model_id,model_type,generation_prefix,n_samples,mean_response_length,std_response_length,ci_95,model_name,batches_combined,median_response_length,timestamp,start_idx,n_errors,eval_response_uplift_ratio,sft_length,train_mean_ratio,sft_length_baseline
174,very_long,4693.855,short,345.267,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D639J1bX,finetuned,long,500,458.97,288.6756815182048,25.3,ft_long_gen_very_long,,385.0,2026-02-06T11:39:54.899838,0.0,,1.3293190487361957,2421.174,1.9386690093318364,1.505059396154635
175,very_long,4693.855,short,345.267,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-very-long:D8jspZHU,finetuned,default_length,500,342.364,196.91308616747645,17.26,ft_default_length_gen_very_long,,284.5,2026-02-14T04:45:55.331170,0.0,,0.9915920142961823,1074.702,4.36758748006424,0.6680603472390578
176,very_long,4693.855,short,345.267,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-very-long:D954bDwR,fine-tuned,med_long,500,391.71,231.0,20.25,ft_med_long_gen_very_long,,335.0,2026-02-16 22:05:56,,0.0,1.1345132897149162,1643.724,2.855622355091244,1.0217779684090782
177,very_long,4693.855,short,345.267,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-very-long:DA20Nhq3,fine-tuned,no_prefix,500,439.93,327.33,28.69,ft_no_prefix_gen_very_long,,342.5,2026-02-17 05:43:21,,0.0,1.2741733209371298,1608.69,2.9178120085286783,1.0
178,very_long,4693.855,med_short,548.993,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5KFV6AC,finetuned,med_short,1000,339.023,219.258,13.59,ft_very_long,2.0,,,,,0.617536107017758,522.532,8.982904396285777,0.32481833044278263
179,very_long,4693.855,med_short,548.993,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D639J1bX,finetuned,long,500,668.468,411.58388813946544,36.08,ft_long_gen_very_long,,565.0,2026-02-06T11:36:25.138759,0.0,,1.2176257256467748,2421.174,1.9386690093318364,1.505059396154635
180,very_long,4693.855,med_short,548.993,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian:default-length-gen-very-long:D8jspZHU,finetuned,default_length,500,461.934,261.7018640438008,22.94,ft_default_length_gen_very_long,,400.5,2026-02-14T04:43:31.145645,0.0,,0.8414205645609324,1074.702,4.36758748006424,0.6680603472390578
181,very_long,4693.855,med_short,548.993,ft:gpt-4.1-2025-04-14:astra-2:med-long-gen-very-long:D954bDwR,fine-tuned,med_long,500,559.07,324.27,28.42,ft_med_long_gen_very_long,,483.0,2026-02-16 22:09:08,,0.0,1.0183554252968616,1643.724,2.855622355091244,1.0217779684090782
182,very_long,4693.855,med_short,548.993,ft:gpt-4.1-2025-04-14:astra-2:no-prefix-gen-very-long:DA20Nhq3,fine-tuned,no_prefix,500,639.74,465.51,40.8,ft_no_prefix_gen_very_long,,524.0,2026-02-17 05:47:49,,0.0,1.1652971895816522,1608.69,2.9178120085286783,1.0
183,very_long,4693.855,default_length,1097.291,ft:gpt-4.1-2025-04-14:kei-nishimura-gasparian::D5KFV6AC,finetuned,med_short,1000,449.702,275.905,17.1,ft_very_long,2.0,,,,,0.4098292977888272,522.532,8.982904396285777,0.32481833044278263
